participant,trial,x,y
1,1,0,1
1,2,0,0
1,3,1,0
1,4,1,1
1,5,0,1
1,6,1,0
1,7,1,0
1,8,1,0
1,9,1,1
1,10,1,1
1,11,1,0
1,12,1,1
1,13,0,1
1,14,0,0
1,15,1,0
1,16,0,1
1,17,0,0
1,18,0,0
1,19,1,1
1,20,1,1
1,21,1,1
1,22,1,1
1,23,0,1
1,24,1,0
1,25,1,1
1,26,0,1
1,27,0,1
1,28,1,1
1,29,1,1
1,30,0,1
1,31,0,0
1,32,1,1
1,33,1,1
1,34,0,0
1,35,0,0
1,36,1,1
1,37,0,1
1,38,0,1
1,39,1,1
1,40,1,1
1,41,0,1
1,42,0,1
1,43,1,1
1,44,0,1
1,45,1,1
1,46,0,1
1,47,1,1
1,48,1,1
1,49,1,1
1,50,0,0
1,51,1,0
1,52,0,1
1,53,0,1
1,54,0,1
1,55,1,0
1,56,0,1
1,57,1,0
1,58,0,1
1,59,1,1
1,60,0,0
1,61,1,1
1,62,0,0
1,63,0,0
1,64,1,1
1,65,1,0
1,66,1,0
1,67,0,0
1,68,1,0
1,69,1,1
1,70,1,1
1,71,0,0
1,72,0,0
1,73,0,1
1,74,1,0
1,75,1,1
1,76,1,0
1,77,1,0
1,78,1,0
1,79,1,1
1,80,1,0
1,81,1,1
1,82,1,1
1,83,1,0
1,84,0,1
1,85,1,0
1,86,1,1
1,87,0,1
1,88,0,0
1,89,0,1
1,90,1,0
1,91,1,1
1,92,1,1
1,93,0,1
1,94,1,1
1,95,0,1
1,96,0,1
1,97,0,1
1,98,0,0
1,99,0,0
1,100,1,0
1,101,0,1
1,102,1,1
1,103,1,0
1,104,1,0
1,105,1,1
1,106,1,0
1,107,1,1
1,108,0,1
1,109,0,0
1,110,1,0
1,111,1,0
1,112,1,1
1,113,0,1
1,114,1,0
1,115,1,1
1,116,0,0
1,117,1,1
1,118,1,0
1,119,1,1
1,120,1,1
1,121,1,0
1,122,1,1
1,123,1,1
1,124,0,1
1,125,0,0
1,126,0,1
1,127,1,0
1,128,0,1
1,129,0,0
1,130,0,1
1,131,1,0
1,132,0,1
1,133,1,0
1,134,1,1
1,135,1,1
1,136,0,1
1,137,1,1
1,138,1,1
1,139,0,1
1,140,0,0
1,141,1,1
1,142,0,1
1,143,1,1
1,144,1,0
1,145,1,1
1,146,1,1
1,147,0,0
1,148,1,1
1,149,0,1
1,150,1,1
1,151,1,0
1,152,1,0
1,153,0,0
1,154,0,1
1,155,1,1
1,156,0,1
1,157,0,1
1,158,1,1
1,159,0,1
1,160,1,1
1,161,0,1
1,162,1,1
1,163,0,0
1,164,0,1
1,165,1,0
1,166,1,1
1,167,1,0
1,168,1,0
1,169,1,1
1,170,1,1
1,171,1,1
1,172,1,0
1,173,1,1
1,174,0,0
1,175,0,0
1,176,0,1
1,177,1,0
1,178,1,1
1,179,1,1
1,180,1,0
1,181,0,1
1,182,1,0
1,183,1,1
1,184,1,1
1,185,0,1
1,186,1,0
1,187,1,1
1,188,1,1
1,189,1,0
1,190,0,1
1,191,1,1
1,192,0,1
1,193,1,1
1,194,1,1
1,195,1,1
1,196,1,0
1,197,0,1
1,198,1,1
1,199,1,1
1,200,1,1
1,201,1,1
1,202,1,1
1,203,1,1
1,204,1,1
1,205,1,1
1,206,1,1
1,207,1,1
1,208,1,1
1,209,1,1
1,210,1,1
1,211,1,1
1,212,1,1
1,213,1,1
1,214,1,1
1,215,1,1
1,216,1,1
1,217,1,1
1,218,1,1
1,219,1,1
1,220,0,1
1,221,1,1
1,222,1,1
1,223,1,1
1,224,1,1
1,225,0,1
1,226,1,1
1,227,1,1
1,228,0,1
1,229,1,1
1,230,1,1
1,231,1,1
1,232,1,1
1,233,1,1
1,234,1,1
1,235,1,1
1,236,0,1
1,237,1,1
1,238,0,1
1,239,1,1
1,240,1,1
1,241,0,0
1,242,1,0
1,243,1,0
1,244,1,1
1,245,1,1
1,246,1,1
1,247,0,1
1,248,1,1
1,249,0,1
1,250,1,1
1,251,1,1
1,252,1,1
1,253,1,1
1,254,1,1
1,255,0,1
1,256,1,1
1,257,1,1
1,258,0,1
1,259,1,1
1,260,1,1
1,261,1,1
1,262,0,1
1,263,1,1
1,264,1,1
1,265,1,1
1,266,0,0
1,267,1,1
1,268,1,1
1,269,1,1
1,270,1,0
1,271,0,1
1,272,0,1
1,273,0,1
1,274,1,0
1,275,1,1
1,276,1,1
1,277,0,1
1,278,0,1
1,279,0,1
1,280,1,0
1,281,0,1
1,282,1,1
1,283,1,0
1,284,1,1
1,285,0,1
1,286,1,1
1,287,1,1
1,288,1,1
1,289,0,1
1,290,1,1
1,291,0,1
1,292,1,1
1,293,1,1
1,294,0,1
1,295,1,1
1,296,1,1
1,297,0,1
1,298,0,1
1,299,1,0
1,300,0,0
2,1,1,0
2,2,0,0
2,3,0,0
2,4,1,1
2,5,1,0
2,6,1,1
2,7,1,0
2,8,0,0
2,9,1,1
2,10,1,1
2,11,0,1
2,12,0,0
2,13,1,0
2,14,1,1
2,15,0,1
2,16,0,1
2,17,1,1
2,18,0,0
2,19,1,1
2,20,1,0
2,21,0,1
2,22,0,1
2,23,1,1
2,24,1,1
2,25,0,0
2,26,0,1
2,27,1,1
